2023-07-28 10:35:44.3210|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5065 |url: |action: 
2023-07-28 10:35:44.3210|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2023-07-28 10:35:44.3218|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2023-07-28 10:35:44.3218|0|INFO|Microsoft.Hosting.Lifetime|Content root path: /Users/sbucheaclaudiu/RiderProjects/SystemTicket/WebApplication1/ |url: |action: 
2023-07-28 10:35:56.0581|0|ERROR|WebApplication1.Middleware.ExceptionHandlerMiddleware|Serialization and deserialization of 'System.Action' instances is not supported. Path: $.MoveNextAction. |url: https://localhost/api/Event/Patch|action: Patch
2023-07-28 10:37:02.1355|0|INFO|Microsoft.Hosting.Lifetime|Application is shutting down... |url: |action: 
2023-07-28 10:37:04.2378|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7014 |url: |action: 
2023-07-28 10:37:04.2436|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5065 |url: |action: 
2023-07-28 10:37:04.2436|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2023-07-28 10:37:04.2436|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2023-07-28 10:37:04.2436|0|INFO|Microsoft.Hosting.Lifetime|Content root path: /Users/sbucheaclaudiu/RiderProjects/SystemTicket/WebApplication1/ |url: |action: 
2023-07-28 10:37:18.6489|0|ERROR|WebApplication1.Middleware.ExceptionHandlerMiddleware|Serialization and deserialization of 'System.Action' instances is not supported. Path: $.MoveNextAction. |url: https://localhost/api/Event/Patch|action: Patch
2023-07-28 10:37:52.1043|0|INFO|Microsoft.Hosting.Lifetime|Application is shutting down... |url: |action: 
2023-07-28 10:37:54.1451|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7014 |url: |action: 
2023-07-28 10:37:54.1514|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5065 |url: |action: 
2023-07-28 10:37:54.1514|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2023-07-28 10:37:54.1514|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2023-07-28 10:37:54.1514|0|INFO|Microsoft.Hosting.Lifetime|Content root path: /Users/sbucheaclaudiu/RiderProjects/SystemTicket/WebApplication1/ |url: |action: 
